"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT11"
"USC00415013","LAMESA 1 SSE, TX US","2010-03-01",,,"0.44","0.0","0.0","60","36","36",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-02",,,"0.02","0.0","0.0","41","27","27",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-03",,,"0.00","0.0","0.0","59","27","33",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-04",,,"0.00","0.0","0.0","68","33","35",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-05",,,"0.00","0.0","0.0","71","33","43",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-06",,,"0.00","0.0","0.0","74","43","49",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-07",,,"0.06","0.0","0.0","61","49","52",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-08",,,"0.08","0.0","0.0","58","52","56",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-09",,,"0.00","0.0","0.0","65","41","41",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-10",,,"0.00","0.0","0.0","69","43","43",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-11",,,"0.00","0.0","0.0","61","33","33",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-12",,,"0.00","0.0","0.0","54","31","31",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-13",,,"0.00","0.0","0.0","64","31","40",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-14",,,"0.00","0.0","0.0","75","33","33",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-15",,,"0.00","0.0","0.0","71","33","42",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-16",,,"1.43","0.0","0.0","43","35","38",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-17",,,"0.00","0.0","0.0","58","35","36",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-18",,,"0.00","0.0","0.0","71","35","35",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-19",,,"0.00","0.0","0.0","68","35","43",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-20",,,"0.00","0.0","0.0","70","27","27",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-21",,,"0.00","0.0","0.0","41","24","24",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-22",,,"0.00","0.0","0.0","60","24","29",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-23",,,"0.00","0.0","0.0","75","29","37",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-24",,,"0.00","0.0","0.0","84","37","53",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-25",,,"0.00","0.0","0.0","63","33","33",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-26",,,"0.00","0.0","0.0","64","37","38",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-27",,,"0.00","0.0","0.0","79","36","46",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-28",,,"0.00","0.0","0.0","64","41","41",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-29",,,"0.00","0.0","0.0","67","35","35",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-30",,,"0.00","0.0","0.0","78","35","37",,
"USC00415013","LAMESA 1 SSE, TX US","2010-03-31",,,"0.00","0.0","0.0","87","37","44",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-01",,,"0.00","0.0","0.0","89","44","50",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-02",,,"0.00","0.0","0.0","78","43","43",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-03",,,"0.00","0.0","0.0","65","31","31",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-04",,,"0.00","0.0","0.0","77","48","48",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-05",,,"0.00","0.0","0.0","88","56","56",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-06",,,"0.00","0.0","0.0","89","56","59",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-07",,,"0.00","0.0","0.0","85","36","36",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-08",,,"0.00","0.0","0.0","63","28","28",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-09",,,"0.00","0.0","0.0","70","28","37",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-10",,,"0.00","0.0","0.0","80","39","50",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-11",,,"0.00","0.0","0.0","89","52","58",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-12",,,"0.00","0.0","0.0","81","54","60",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-13",,,"0.00","0.0","0.0","78","57","57",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-14",,,"0.00","0.0","0.0","67","57","57",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-15",,,"0.32","0.0","0.0","68","57","57",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-16",,,"2.35","0.0","0.0","60","56","56",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-17",,,"0.13","0.0","0.0","66","47","47",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-18",,,"0.00","0.0","0.0","53","45","45",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-19",,,"0.00","0.0","0.0","65","45","47",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-20",,,"0.00","0.0","0.0","56","47","47",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-21",,,"0.00","0.0","0.0","75","47","50",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-22",,,"0.00","0.0","0.0","83","50","61",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-23",,,"0.27","0.0","0.0","81","44","44",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-24",,,"0.00","0.0","0.0","66","44","48",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-25",,,"0.00","0.0","0.0","74","44","45",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-26",,,"0.00","0.0","0.0","78","43","43",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-27",,,"0.00","0.0","0.0","62","39","39",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-28",,,"0.00","0.0","0.0","70","39","44",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-29",,,"0.00","0.0","0.0","86","44","58",,
"USC00415013","LAMESA 1 SSE, TX US","2010-04-30",,,"0.00","0.0","0.0","90","53","53",,
"USC00415013","LAMESA 1 SSE, TX US","2010-05-01",,,"0.00","0.0","0.0","69","51","51",,
"USC00415013","LAMESA 1 SSE, TX US","2010-05-02",,,"0.00","0.0","0.0","64","38","39",,
"USC00415013","LAMESA 1 SSE, TX US","2010-05-03",,,"0.00","0.0","0.0","73","38","48",,
"USC00415013","LAMESA 1 SSE, TX US","2010-05-04",,,"0.00","0.0","0.0","72","47","47",,
"USC00415013","LAMESA 1 SSE, TX US","2010-05-05",,,"0.00","0.0","0.0","90","47","48",,
"USC00415013","LAMESA 1 SSE, TX US","2010-05-06",,,"0.00","0.0","0.0","82","48","48",,
"USC00415013","LAMESA 1 SSE, TX US","2010-05-07",,,"0.00","0.0","0.0","98","48","56",,
"USC00415013","LAMESA 1 SSE, TX US","2010-05-08",,,"0.00","0.0","0.0","73","48","48",,
"USC00415013","LAMESA 1 SSE, TX US","2010-05-09",,,"0.00","0.0","0.0","60","54","55",,
